canonical_field,source_id,literal_label,source_unit,parser,notes
fuel_capacity_gal,src-firefly-m220av,Fuel Tank Capacity,gal,dual_unit,60 gal (227 liters)
overall_length_in,src-toro-product,Product Length,in,dual_unit,"111"" (281.9 cm)"
overall_length_in,src-deere-product,Length,in,dual_unit,292 cm / 115 in.
overall_length_in,src-echo-product,Length (ft.),ft,number,"UNIT TRAP: feet, not inches. Unit in the label"
overall_width_in,src-toro-product,Transport Width,in,dual_unit,"92"" (233.7 cm). 'Overall Width' is a separate, larger figure"
overall_width_in,src-deere-product,Transport width,in,dual_unit,226 cm / 89 in.
overall_width_in,src-echo-product,Width (ft.),ft,number,UNIT TRAP: feet
height_to_rops_in,src-toro-product,Height,in,compound,"'63"" to seat, 85.5"" to ROPS' - two values, one cell"
height_to_rops_in,src-deere-product,Height with ROPS,in,dual_unit,210.8 cm / 83 in.
rops,src-deere-product,ROPS,,text,Standard; meets ISO 21299
rops,src-toro-product,Safety/Operator Safety,,prose,'2-post ROPS and retractable seat belts standard'
drivetrain,src-toro-product,Traction Drive,,text,Front-Wheel Drive / 3WD
drivetrain,src-deere-product,Traction drive,,text,
power_steering,src-toro-product,Power Steering,,boolean_check,Yes / No
